k,d,A,p01_lam,p01_q,p01_raw,p012_lam,p012_q,p012_raw
12,225,1832,1,1,1,0,0,0
12,229,1863,1,1,1,0,0,0
12,240,1952,1,1,1,0,0,0
12,246,2008,1,1,1,0,0,0
12,247,2015,1,1,1,0,0,0
12,248,2024,1,1,1,0,0,0
12,249,2024,1,1,1,0,0,0
12,255,2079,1,1,1,0,0,0
12,258,2106,1,1,1,0,0,0
12,259,2106,1,1,1,0,0,0
12,263,2144,1,1,1,0,0,0
12,277,2255,1,1,1,0,0,0
12,282,2295,1,1,1,0,0,0
12,296,2415,1,1,1,0,0,0
12,297,2415,1,1,1,0,0,0
12,298,2430,1,1,1,1,1,1
12,298,2431,1,1,1,0,0,0
12,299,2431,1,1,1,0,0,0
12,301,2450,1,1,1,0,0,0
12,302,2456,1,1,1,0,0,0
12,308,2511,1,1,1,0,0,0
12,317,2583,1,1,1,0,0,0
12,322,2624,1,1,1,0,0,0
12,328,2672,1,1,1,0,0,0
12,336,2736,1,1,1,0,0,0
12,338,2754,1,1,1,0,0,0
12,341,2783,1,1,1,0,0,0
12,342,2792,1,1,1,0,0,0
12,343,2792,1,1,1,0,0,0
12,359,2925,1,1,1,0,0,0
12,365,2975,1,1,1,0,0,0
12,375,3055,1,1,1,0,0,0
12,381,3104,1,1,1,0,0,0
12,387,3159,1,1,1,0,0,0
12,388,3159,1,1,1,0,0,0
12,390,3184,1,1,1,0,0,0
12,391,3184,1,1,1,0,0,0
12,399,3255,1,1,1,0,0,0
12,404,3288,1,1,1,0,0,0
12,407,3320,1,1,1,0,0,0
12,414,3375,1,1,1,0,0,0
12,425,3464,1,1,1,0,0,0
12,431,3519,1,1,1,0,0,0
12,432,3519,1,1,1,0,0,0
12,435,3552,1,1,1,0,0,0
12,436,3552,1,1,1,0,0,0
12,438,3575,1,1,1,1,1,1
12,438,3576,1,1,1,0,0,0
12,439,3575,1,1,1,1,1,1
12,439,3576,1,1,1,0,0,0
12,454,3704,1,1,1,0,0,0
12,467,3807,1,1,1,0,0,0
12,469,3824,1,1,1,0,0,0
12,482,3927,1,1,1,0,0,0
12,486,3968,1,1,1,0,0,0
12,487,3968,1,1,1,0,0,0
12,502,4095,1,1,1,0,0,0
12,510,4160,1,1,1,0,0,0
12,528,4304,1,1,1,0,0,0
12,534,4360,1,1,1,0,0,0
12,535,4360,1,1,1,0,0,0
12,566,4616,1,1,1,0,0,0
12,569,4640,1,1,1,0,0,0
12,582,4744,1,1,1,0,0,0
12,582,4752,1,1,1,0,0,0
12,583,4752,1,1,1,0,0,0
12,605,4940,1,1,1,0,0,0
12,606,4940,1,1,1,0,0,0
12,612,4991,1,1,1,0,0,0
12,685,5589,1,1,1,0,0,0
12,705,5750,1,1,1,0,0,0
12,710,5796,1,1,1,0,0,0
12,711,5796,1,1,1,0,0,0
12,775,6324,1,1,1,0,0,0
12,784,6399,1,1,1,0,0,0
12,804,6565,1,1,1,0,0,0
12,805,6565,1,1,1,0,0,0
12,852,6954,1,1,1,0,0,0
12,868,7084,1,1,1,0,0,0
12,887,7238,1,1,1,0,0,0
12,900,7344,1,1,1,0,0,0
12,964,7865,1,1,1,0,0,0
12,1011,8249,1,1,1,0,0,0
12,1044,8525,1,1,1,0,0,0
12,1091,8905,1,1,1,0,0,0
12,1104,9009,1,1,1,0,0,0
12,1121,9152,1,1,1,0,0,0
12,1122,9152,1,1,1,0,0,0
12,1147,9360,1,1,1,0,0,0
12,1167,9519,1,1,1,0,0,0
12,1195,9750,1,1,1,0,0,0
12,1201,9800,1,1,1,0,0,0
12,1231,10044,1,1,1,0,0,0
12,1234,10074,1,1,1,0,0,0
12,1235,10074,1,1,1,0,0,0
12,1250,10205,1,1,1,0,0,0
12,1251,10205,1,1,1,0,0,0
12,1264,10317,1,1,1,0,0,0
12,1266,10335,1,1,1,0,0,0
12,1306,10659,1,1,1,0,0,0
12,1330,10854,1,1,1,0,0,0
12,1333,10879,1,1,1,1,1,1
12,1333,10880,1,1,1,0,0,0
12,1340,10934,1,1,1,0,0,0
12,1348,11000,1,1,1,0,0,0
12,1417,11570,1,1,1,0,0,0
12,1458,11899,1,1,1,0,0,0
12,1537,12544,1,1,1,0,0,0
12,1816,14819,1,1,1,0,0,0
12,1871,15275,1,1,1,0,0,0
12,1878,15333,1,1,1,0,0,0
12,1879,15333,1,1,1,0,0,0
12,1964,16037,1,1,1,0,0,0
12,1965,16037,1,1,1,0,0,0
12,2030,16575,1,1,1,0,0,0
12,2031,16575,1,1,1,0,0,0
12,2069,16895,1,1,1,0,0,0
12,2070,16895,1,1,1,0,0,0
12,2107,17204,1,1,1,0,0,0
12,2108,17204,1,1,1,0,0,0
12,2110,17225,1,1,1,0,0,0
12,2144,17500,1,1,1,0,0,0
12,2214,18069,1,1,1,0,0,0
12,2253,18395,1,1,1,0,0,0
12,2254,18395,1,1,1,0,0,0
12,2324,18974,1,1,1,0,0,0
12,2365,19305,1,1,1,0,0,0
12,2497,20383,1,1,1,0,0,0
12,2572,20999,1,1,1,0,0,0
12,2695,22000,1,1,1,1,1,1
12,2841,23199,1,1,1,0,0,0
12,2842,23199,1,1,1,0,0,0
12,2883,23540,1,1,1,0,0,0
12,2884,23540,1,1,1,0,0,0
12,2905,23715,1,1,1,0,0,0
12,3175,25920,1,1,1,0,0,0
12,3261,26624,1,1,1,0,0,0
12,3414,27872,1,1,1,0,0,0
12,3476,28379,1,1,1,0,0,0
12,3512,28671,1,1,1,0,0,0
12,3625,29600,1,1,1,0,0,0
12,3626,29600,1,1,1,0,0,0
12,3676,30015,1,1,1,0,0,0
12,3677,30015,1,1,1,0,0,0
12,3826,31239,1,1,1,0,0,0
12,3835,31310,1,1,1,0,0,0
12,4015,32780,1,1,1,0,0,0
12,4170,34047,1,1,1,0,0,0
12,4554,37179,1,1,1,0,0,0
12,4617,37696,1,1,1,0,0,0
12,4765,38905,1,1,1,0,0,0
12,5047,41208,1,1,1,0,0,0
12,5095,41600,1,1,1,0,0,0
12,5201,42470,1,1,1,0,0,0
12,5335,43560,1,1,1,0,0,0
12,5608,45792,1,1,1,0,0,0
12,5609,45792,1,1,1,0,0,0
12,5632,45980,1,1,1,0,0,0
12,5695,46500,1,1,1,0,0,0
12,5767,47088,1,1,1,0,0,0
12,5771,47124,1,1,1,0,0,0
12,5772,47124,1,1,1,0,0,0
12,5863,47872,1,1,1,0,0,0
12,5967,48719,1,1,1,0,0,0
12,5976,48789,1,1,1,0,0,0
12,6271,51204,1,1,1,0,0,0
12,6553,53504,1,1,1,0,0,0
12,6564,53599,1,1,1,0,0,0
12,6565,53599,1,1,1,0,0,0
12,6577,53703,1,1,1,0,0,0
12,6783,55384,1,1,1,0,0,0
12,7495,61200,1,1,1,0,0,0
12,7591,61984,1,1,1,0,0,0
12,8035,65610,1,0,0,0,0,0
12,8719,71196,1,1,1,0,0,0
12,8732,71299,1,1,1,0,0,0
12,8865,72384,1,1,1,0,0,0
12,9375,76544,1,0,0,0,0,0
12,9852,80445,1,1,1,0,0,0
12,9895,80800,1,1,1,0,0,0
12,9943,81192,1,1,1,0,0,0
12,10087,82368,1,1,1,0,0,0
12,10345,84475,1,1,1,0,0,0
12,11067,90364,1,1,1,0,0,0
12,11864,96875,1,1,1,0,0,0
12,11867,96899,1,1,1,0,0,0
12,12301,100440,1,1,1,0,0,0
12,14139,115455,1,1,1,0,0,0
12,14140,115455,1,1,1,0,0,0
12,18187,148511,1,1,1,0,0,0
12,18188,148511,1,1,1,0,0,0
12,19300,157599,1,1,1,0,0,0
12,19301,157599,1,1,1,0,0,0
12,20088,164024,1,1,1,0,0,0
12,20623,168399,1,0,0,0,0,0
12,20932,170924,1,1,1,0,0,0
12,20933,170924,1,1,1,0,0,0
12,22012,179740,1,1,1,0,0,0
12,22071,180224,1,1,1,0,0,0
12,24250,198015,1,1,1,0,0,0
12,25460,207900,1,1,1,0,0,0
12,25461,207900,1,1,1,0,0,0
12,30095,245745,1,1,1,0,0,0
12,34425,281105,1,1,1,0,0,0
12,34426,281105,1,1,1,0,0,0
12,34611,282624,0,1,0,0,0,0
12,35955,293600,1,1,1,0,0,0
12,35956,293600,1,1,1,0,0,0
12,37924,309672,1,1,1,0,0,0
12,37992,310232,1,1,1,0,0,0
12,39027,318681,1,1,1,0,0,0
12,41781,341172,1,0,0,0,0,0
12,43207,352814,1,1,1,0,0,0
12,43813,357759,1,1,1,0,0,0
12,46368,378624,1,1,1,0,0,0
12,46524,379904,1,1,1,0,0,0
12,46525,379904,1,1,1,0,0,0
12,47478,387695,1,1,1,0,0,0
12,53794,439263,1,1,1,0,0,0
12,54277,443209,1,1,1,0,0,0
12,58531,477950,1,1,1,0,0,0
12,61095,498882,1,1,1,0,0,0
12,63724,520352,1,1,1,0,0,0
12,66399,542190,1,1,1,0,0,0
12,77799,635283,1,1,1,0,0,0
12,88639,723800,1,1,1,0,0,0
12,96864,790965,1,0,0,0,0,0
12,97157,793364,1,1,1,0,0,0
12,100970,824499,1,1,1,0,0,0
12,100971,824499,1,1,1,0,0,0
12,106925,873125,1,1,1,0,0,0
12,114116,931840,0,1,0,0,0,0
12,120055,980343,1,1,1,0,0,0
12,124073,1013148,1,1,1,0,0,0
12,145662,1189439,1,1,1,0,0,0
12,198885,1624050,1,1,1,0,0,0
12,220282,1798775,1,1,1,0,0,0
12,220283,1798775,1,1,1,0,0,0
12,238163,1944783,1,1,1,0,0,0
12,265844,2170827,1,1,1,0,0,0
12,302954,2473856,1,1,1,0,0,0
12,318188,2598254,1,1,1,0,0,0
12,325784,2660284,1,1,1,0,0,0
12,325785,2660284,1,1,1,0,0,0
12,345913,2824653,1,1,1,0,0,0
12,439233,3586679,1,0,0,0,0,0
12,442505,3613400,1,1,1,0,0,0
12,520329,4248894,1,1,1,0,0,0
12,521795,4260864,1,1,1,0,0,0
12,677903,5535607,1,1,1,0,0,0
12,679895,5551875,1,1,1,0,0,0
12,847953,6924203,1,1,1,0,0,0
12,1256668,10261691,1,1,1,0,0,0
12,1319844,10777575,1,1,1,0,0,0
12,1319845,10777575,1,1,1,0,0,0
12,1339123,10935000,1,0,0,0,0,0
12,1342873,10965617,1,1,1,0,0,0
12,1619000,13220415,1,0,0,0,0,0
12,2171375,17730999,1,1,1,0,0,0
12,2185201,17843903,1,1,1,0,0,0
12,2185202,17843903,1,1,1,0,0,0
12,4180377,34136102,1,1,1,0,0,0
12,4180378,34136102,1,1,1,0,0,0
12,4447226,36315135,1,0,0,0,0,0
12,4447227,36315135,1,0,0,0,0,0
12,7247520,59181759,1,1,1,0,0,0
12,8305655,67822271,1,1,1,0,0,0
12,8718748,71195510,1,1,1,0,0,0
12,8947594,73064214,1,1,1,0,0,0
12,16877847,137821040,1,1,1,0,0,0
12,35454094,289510865,1,1,1,0,0,0
12,136137983,1111674879,1,1,1,0,0,0
12,136137984,1111674879,1,1,1,0,0,0
